"price","size_m2","rooms","city","type","condition","price2","size2","unit_price"
"20,5 M Ft ","47  m2","2 szoba ","Pécs ","panellakás","Felújított állapotú",20.5,47,0.436170212765957
"24,9 M Ft ","47  m2","2 szoba ","Szeged ","panellakás","Felújított állapotú",24.9,47,0.529787234042553
"49 M Ft ","52  m2","1 és 2 fél szoba ","Budapest, XIV. kerület ","tégla építésû","Újszerû állapotú",49,52,0.942307692307692
"34,9 M Ft ","42  m2","1 szoba ","Hévíz ","tégla építésû",NA,34.9,42,0.830952380952381
"38,6 M Ft ","76  m2","1 és 2 fél szoba ","Eger ","tégla építésû","Új építésû",38.6,76,0.507894736842105
"35,9 M Ft ","30  m2","1 szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",35.9,30,1.19666666666667
"17,5 M Ft ","43  m2","1 és fél szoba ","Nyíregyháza ","tégla építésû","Felújított állapotú",17.5,43,0.406976744186047
"11,2 M Ft ","28  m2","1 szoba ","Ajka ","tégla építésû","felújítandó",11.2,28,0.4
"89,9 M Ft ","124  m2","2 és 3 fél szoba ","Mogyoród ","tégla építésû","Új építésû",89.9,124,0.725
"42,7 M Ft ","47  m2","2 szoba ","Pécs ","tégla építésû","Új építésû",42.7,47,0.908510638297872
"89,9 M Ft ","124  m2","2 és 3 fél szoba ","Mogyoród ","tégla építésû","Új építésû",89.9,124,0.725
"47,2 M Ft ","52  m2","2 szoba ","Pécs ","tégla építésû","Új építésû",47.2,52,0.907692307692308
"80,1 M Ft ","89  m2","2 szoba ","Pécs ","tégla építésû","Új építésû",80.1,89,0.9
"39,5 M Ft ","62  m2","2 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",39.5,62,0.637096774193548
"30,9 M Ft ","52  m2","2 szoba ","Pécs ","tégla építésû","Új építésû",30.9,52,0.594230769230769
"89,9 M Ft ","124  m2","2 és 3 fél szoba ","Mogyoród ","tégla építésû","Új építésû",89.9,124,0.725
"35,9 M Ft ","53  m2","2 szoba ","Budapest, X. kerület ","tégla építésû",NA,35.9,53,0.677358490566038
"41,5 M Ft ","45  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",41.5,45,0.922222222222222
"14,5 M Ft ","52  m2","2 szoba ","Dunaújváros ","tégla építésû","Felújított állapotú",14.5,52,0.278846153846154
"14,9 M Ft ","48  m2","2 szoba ","Szolnok ","tégla építésû","Jó állapotú",14.9,48,0.310416666666667
"42 M Ft ","63  m2","2 szoba ","Budapest, IV. kerület ","tégla építésû",NA,42,63,0.666666666666667
"25,9 M Ft ","63  m2","2 és fél szoba ","Nyíregyháza ","tégla építésû","Felújított állapotú",25.9,63,0.411111111111111
"25,9 M Ft ","43  m2","2 szoba ","Pécs ","tégla építésû","Jó állapotú",25.9,43,0.602325581395349
"25,9 M Ft ","43  m2","2 szoba ","Pécs ","tégla építésû","Jó állapotú",25.9,43,0.602325581395349
"41,5 M Ft ","50  m2","1 és 2 fél szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",41.5,50,0.83
"99 M Ft ","89  m2","1 és 4 fél szoba ","Budapest, VII. kerület ","tégla építésû","Felújított állapotú",99,89,1.1123595505618
"39,9 M Ft ","37  m2","1 és fél szoba ","Budapest, III. kerület ","tégla építésû","Jó állapotú",39.9,37,1.07837837837838
"16,9 M Ft ","25  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,16.9,25,0.676
"24 M Ft ","30  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","Felújított állapotú",24,30,0.8
"20,5 M Ft ","28  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,20.5,28,0.732142857142857
"31,2 M Ft ","42  m2","1 szoba ","Budapest, XIV. kerület ","tégla építésû",NA,31.2,42,0.742857142857143
"29,9 M Ft ","33  m2","1 szoba ","Budapest, XIV. kerület ","tégla építésû","Jó állapotú",29.9,33,0.906060606060606
"33,8 M Ft ","71  m2","3 szoba ","Pécs ","tégla építésû","Felújított állapotú",33.8,71,0.476056338028169
"149,9 M Ft ","109  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",149.9,109,1.37522935779817
"73,9 M Ft ","99  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",73.9,99,0.746464646464646
"171,9 M Ft ","97  m2","3 és fél szoba ","Budapest, VI. kerület ","tégla építésû",NA,171.9,97,1.77216494845361
"85,4 M Ft ","75  m2","3 szoba ","Budapest, V. kerület ","tégla építésû",NA,85.4,75,1.13866666666667
"92 M Ft ","92  m2","3 szoba ","Budapest, II. kerület ","tégla építésû","Felújított állapotú",92,92,1
"30,5 M Ft ","71  m2","3 szoba ","Debrecen ","panellakás","Felújított állapotú",30.5,71,0.429577464788732
"23 M Ft ","54  m2","2 szoba ","Pécs ","tégla építésû","Jó állapotú",23,54,0.425925925925926
"35,9 M Ft ","53  m2","2 szoba ","Budapest, X. kerület ","tégla építésû",NA,35.9,53,0.677358490566038
"25 M Ft ","46  m2","2 szoba ","Debrecen ","panellakás","Jó állapotú",25,46,0.543478260869565
"32,4 M Ft ","37  m2","1 és fél szoba ","Budapest, XXI. kerület ","tégla építésû","Felújított állapotú",32.4,37,0.875675675675676
"22 M Ft ","35  m2","1 szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",22,35,0.628571428571429
"29,9 M Ft ","56  m2","1 és fél szoba ","Debrecen ","tégla építésû","Jó állapotú",29.9,56,0.533928571428571
"29 M Ft ","61  m2","2 és fél szoba ","Szigetszentmiklós ","panellakás","Jó állapotú",29,61,0.475409836065574
"59,9 M Ft ","77  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",59.9,77,0.777922077922078
"59,5 M Ft ","77  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",59.5,77,0.772727272727273
"72,9 M Ft ","84  m2","3 szoba ","Érd ","tégla építésû","Új építésû",72.9,84,0.867857142857143
"28,1 M Ft ","45  m2","3 szoba ","Pécs ","tégla építésû","Új építésû",28.1,45,0.624444444444444
"61,5 M Ft ","78  m2","3 szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",61.5,78,0.788461538461538
"61 M Ft ","100  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû","Felújított állapotú",61,100,0.61
"39,6 M Ft ","60  m2","3 szoba ","Pécs ","tégla építésû","Új építésû",39.6,60,0.66
"39,9 M Ft ","74  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",39.9,74,0.539189189189189
"63 M Ft ","72  m2","3 szoba ","Érd ","tégla építésû","Új építésû",63,72,0.875
"59 M Ft ","92  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",59,92,0.641304347826087
"60,5 M Ft ","90  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",60.5,90,0.672222222222222
"46 M Ft ","66  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",46,66,0.696969696969697
"29,8 M Ft ","47  m2","3 szoba ","Pécs ","tégla építésû","Új építésû",29.8,47,0.634042553191489
"39,9 M Ft ","74  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",39.9,74,0.539189189189189
"61,5 M Ft ","78  m2","3 szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",61.5,78,0.788461538461538
"59,5 M Ft ","78  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",59.5,78,0.762820512820513
"63 M Ft ","72  m2","3 szoba ","Érd ","tégla építésû","Új építésû",63,72,0.875
"59,9 M Ft ","86  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",59.9,86,0.696511627906977
"29,8 M Ft ","47  m2","3 szoba ","Pécs ","tégla építésû","Új építésû",29.8,47,0.634042553191489
"59,9 M Ft ","77  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",59.9,77,0.777922077922078
"59 M Ft ","92  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",59,92,0.641304347826087
"59,5 M Ft ","77  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",59.5,77,0.772727272727273
"63 M Ft ","72  m2","3 szoba ","Érd ","tégla építésû","Új építésû",63,72,0.875
"60,5 M Ft ","90  m2","3 szoba ","Dunaharaszti ","tégla építésû","Új építésû",60.5,90,0.672222222222222
"36 M Ft ","76  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû","felújítandó",36,76,0.473684210526316
"25 M Ft ","55  m2","2 szoba ","Szeged ","panellakás","Felújított állapotú",25,55,0.454545454545455
"63 M Ft ","69  m2","2 szoba ","Budapest, XIII. kerület ","panellakás","Jó állapotú",63,69,0.91304347826087
"70,9 M Ft ","46  m2","2 szoba ","Balatonföldvár ","tégla építésû","Új építésû",70.9,46,1.54130434782609
"69,8 M Ft ","64  m2","2 szoba ","Budapest, III. kerület ","tégla építésû","Új építésû",69.8,64,1.090625
"75,1 M Ft ","54  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",75.1,54,1.39074074074074
"78,1 M Ft ","54  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",78.1,54,1.4462962962963
"42,9 M Ft ","38  m2","2 szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",42.9,38,1.12894736842105
"26,5 M Ft ","50  m2","2 szoba ","Szeged ","tégla építésû","Felújított állapotú",26.5,50,0.53
"65 M Ft ","64  m2","2 szoba ","Budapest, III. kerület ","tégla építésû","Új építésû",65,64,1.015625
"71,8 M Ft ","89  m2","2 és fél szoba ","Budapest, XVIII. kerület ","tégla építésû","Új építésû",71.8,89,0.806741573033708
"83,8 M Ft ","54  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",83.8,54,1.55185185185185
"21,9 M Ft ","43  m2","2 szoba ","Gyõr ","tégla építésû","Jó állapotú",21.9,43,0.509302325581395
"65 M Ft ","38  m2","2 szoba ","Budapest, XI. kerület ","tégla építésû","Új építésû",65,38,1.71052631578947
"75,1 M Ft ","54  m2","2 szoba ","Siófok ","tégla építésû","Újszerû állapotú",75.1,54,1.39074074074074
"25,9 M Ft ","39  m2","1 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,25.9,39,0.664102564102564
"27,9 M Ft ","33  m2","1 szoba ","Budapest, XII. kerület ","tégla építésû","Felújított állapotú",27.9,33,0.845454545454545
"44,5 M Ft ","77  m2","1 és 2 fél szoba ","Miskolc ","tégla építésû","Új építésû",44.5,77,0.577922077922078
"24,9 M Ft ","31  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",24.9,31,0.803225806451613
"24,9 M Ft ","29  m2","1 szoba ","Veszprém ","tégla építésû",NA,24.9,29,0.858620689655172
"38 M Ft ","43  m2","1 és fél szoba ","Budapest, XV. kerület ","tégla építésû","Felújított állapotú",38,43,0.883720930232558
"49,5 M Ft ","42  m2","1 és fél szoba ","Budapest, IX. kerület ","tégla építésû",NA,49.5,42,1.17857142857143
"18,5 M Ft ","51  m2","2 szoba ","Várpalota ","tégla építésû","Jó állapotú",18.5,51,0.362745098039216
"19,9 M Ft ","57  m2","2 szoba ","Oroszlány ","tégla építésû","Jó állapotú",19.9,57,0.349122807017544
"20,3 M Ft ","53  m2","2 szoba ","Nyíregyháza ","tégla építésû","felújítandó",20.3,53,0.383018867924528
"49 M Ft ","47  m2","2 szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",49,47,1.04255319148936
"53,6 M Ft ","53  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",53.6,53,1.01132075471698
"53,8 M Ft ","55  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",53.8,55,0.978181818181818
"54 M Ft ","57  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",54,57,0.947368421052632
"51,6 M Ft ","44  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Új építésû",51.6,44,1.17272727272727
"24,7 M Ft ","18  m2","1 szoba ","Budapest, V. kerület ","tégla építésû","Jó állapotú",24.7,18,1.37222222222222
"51 M Ft ","58  m2","1 és 3 fél szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",51,58,0.879310344827586
"22,9 M Ft ","27  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",22.9,27,0.848148148148148
"31,8 M Ft ","28  m2","1 szoba ","Budapest, XIV. kerület ","tégla építésû","Felújított állapotú",31.8,28,1.13571428571429
"13 M Ft ","24  m2","1 szoba ","Budapest, IV. kerület ","tégla építésû",NA,13,24,0.541666666666667
"54,9 M Ft ","79  m2","4 szoba ","Maglód ","tégla építésû","Új építésû",54.9,79,0.694936708860759
"41,9 M Ft ","86  m2","4 szoba ","Keszthely ","tégla építésû","Jó állapotú",41.9,86,0.487209302325581
"28 M Ft ","70  m2","3 szoba ","Kecskemét ","panellakás","Jó állapotú",28,70,0.4
"145 M Ft ","100  m2","3 szoba ","Budapest, V. kerület ","tégla építésû","Felújított állapotú",145,100,1.45
"27,9 M Ft ","55  m2","2 szoba ","Eger ","panellakás","Újszerû állapotú",27.9,55,0.507272727272727
"52,2 M Ft ","70  m2","2 és 2 fél szoba ","Pilisjászfalu ","tégla építésû","Új építésû",52.2,70,0.745714285714286
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"21,9 M Ft ","58  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",21.9,58,0.377586206896552
"97 M Ft ","128  m2","4 és 2 fél szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",97,128,0.7578125
"79,9 M Ft ","89  m2","4 szoba ","Budapest, XVI. kerület ","tégla építésû","Újszerû állapotú",79.9,89,0.897752808988764
"59 M Ft ","80  m2","4 szoba ","Fót ","tégla építésû","Új építésû",59,80,0.7375
"42 M Ft ","92  m2","3 szoba ","Pécs ","tégla építésû","Jó állapotú",42,92,0.456521739130435
"61,6 M Ft ","76  m2","3 szoba ","Érd ","tégla építésû","Új építésû",61.6,76,0.810526315789474
"43 M Ft ","66  m2","3 szoba ","Pécs ","tégla építésû","Felújított állapotú",43,66,0.651515151515151
"59,9 M Ft ","77  m2","3 szoba ","Érd ","tégla építésû","Új építésû",59.9,77,0.777922077922078
"49,9 M Ft ","64  m2","3 szoba ","Pécs ","tégla építésû","Új építésû",49.9,64,0.7796875
"45 M Ft ","69  m2","3 szoba ","Pécs ","tégla építésû","Felújított állapotú",45,69,0.652173913043478
"129 M Ft ","94  m2","2 és 2 fél szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",129,94,1.37234042553191
"59,5 M Ft ","87  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,59.5,87,0.683908045977011
"50,2 M Ft ","56  m2","2 szoba ","Budapest, XXII. kerület ","tégla építésû",NA,50.2,56,0.896428571428571
"59,5 M Ft ","69  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Jó állapotú",59.5,69,0.86231884057971
"45 M Ft ","45  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Felújított állapotú",45,45,1
"69,9 M Ft ","96  m2","2 szoba ","Pécs ","tégla építésû","Felújított állapotú",69.9,96,0.728125
"129 M Ft ","94  m2","2 és 2 fél szoba ","Budapest, VI. kerület ","tégla építésû","Felújított állapotú",129,94,1.37234042553191
"59,5 M Ft ","69  m2","2 és fél szoba ","Budapest, XIV. kerület ","tégla építésû","Jó állapotú",59.5,69,0.86231884057971
"22,5 M Ft ","47  m2","1 és fél szoba ","Pécs ","panellakás","Felújított állapotú",22.5,47,0.478723404255319
"21,9 M Ft ","28  m2","1 szoba ","Gárdony ","panellakás",NA,21.9,28,0.782142857142857
"37,9 M Ft ","53  m2","2 szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",37.9,53,0.715094339622641
"35,9 M Ft ","49  m2","1 és fél szoba ","Budapest, XIX. kerület ","tégla építésû","Felújított állapotú",35.9,49,0.73265306122449
"30,5 M Ft ","25  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû",NA,30.5,25,1.22
"23 M Ft ","54  m2","2 szoba ","Pécs ","tégla építésû","Jó állapotú",23,54,0.425925925925926
"18,8 M Ft ","55  m2","2 szoba ","Békéscsaba ","tégla építésû","Jó állapotú",18.8,55,0.341818181818182
"58,7 M Ft ","74  m2","2 szoba ","Budapest, XI. kerület ","tégla építésû",NA,58.7,74,0.793243243243243
"49,9 M Ft ","69  m2","2 szoba ","Székesfehérvár ","tégla építésû","Felújított állapotú",49.9,69,0.723188405797101
"40 M Ft ","48  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû",NA,40,48,0.833333333333333
"25,5 M Ft ","54  m2","2 szoba ","Budapest, IV. kerület ","tégla építésû",NA,25.5,54,0.472222222222222
"32,9 M Ft ","47  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",32.9,47,0.7
"34,7 M Ft ","36  m2","1 szoba ","Budapest, XIV. kerület ","tégla építésû",NA,34.7,36,0.963888888888889
"29,9 M Ft ","32  m2","1 szoba ","Kecskemét ","tégla építésû","Felújított állapotú",29.9,32,0.934375
"36 M Ft ","50  m2","1 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",36,50,0.72
"28,1 M Ft ","45  m2","10 szoba ","Pécs ","tégla építésû","Új építésû",28.1,45,0.624444444444444
"69,9 M Ft ","89  m2","3 szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",69.9,89,0.785393258426966
"110 M Ft ","84  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Újszerû állapotú",110,84,1.30952380952381
"28,5 M Ft ","69  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",28.5,69,0.41304347826087
"79,6 M Ft ","83  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,79.6,83,0.959036144578313
"91 M Ft ","80  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Felújított állapotú",91,80,1.1375
"96,9 M Ft ","89  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",96.9,89,1.08876404494382
"42,3 M Ft ","46  m2","2 szoba ","Hévíz ","tégla építésû","Újszerû állapotú",42.3,46,0.919565217391304
"42,3 M Ft ","46  m2","2 szoba ","Hévíz ","tégla építésû","Újszerû állapotú",42.3,46,0.919565217391304
"91 M Ft ","80  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","Felújított állapotú",91,80,1.1375
"41,5 M Ft ","52  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","Jó állapotú",41.5,52,0.798076923076923
"96,9 M Ft ","89  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Jó állapotú",96.9,89,1.08876404494382
"61,2 M Ft ","70  m2","2 és fél szoba ","Budapest, XI. kerület ","tégla építésû","felújítandó",61.2,70,0.874285714285714
"72 M Ft ","90  m2","4 szoba ","Érd ","tégla építésû","Új építésû",72,90,0.8
"49,5 M Ft ","44  m2","1 és fél szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",49.5,44,1.125
"23 M Ft ","30  m2","1 szoba ","Budapest, XIX. kerület ","tégla építésû","Felújított állapotú",23,30,0.766666666666667
"49,5 M Ft ","44  m2","1 és fél szoba ","Budapest, IX. kerület ","tégla építésû","Felújított állapotú",49.5,44,1.125
"44,9 M Ft ","46  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Újszerû állapotú",44.9,46,0.976086956521739
"37,9 M Ft ","40  m2","2 szoba ","Budapest, VIII. kerület ","tégla építésû",NA,37.9,40,0.9475
"19,5 M Ft ","53  m2","2 szoba ","Tatabánya ","tégla építésû","Jó állapotú",19.5,53,0.367924528301887
"56,3 M Ft ","46  m2","2 szoba ","Budapest, XIII. kerület ","tégla építésû","Újszerû állapotú",56.3,46,1.22391304347826
"82 M Ft ","96  m2","2 és 2 fél szoba ","Budapest, XI. kerület ","tégla építésû","Jó állapotú",82,96,0.854166666666667
"36,9 M Ft ","52  m2","2 szoba ","Budapest, X. kerület ","tégla építésû","Újszerû állapotú",36.9,52,0.709615384615385
"45,9 M Ft ","68  m2","2 és fél szoba ","Budapest, XIII. kerület ","tégla építésû","felújítandó",45.9,68,0.675
"33,9 M Ft ","47  m2","2 és fél szoba ","Budapest, X. kerület ","tégla építésû","Felújított állapotú",33.9,47,0.721276595744681
"41,8 M Ft ","68  m2","2 szoba ","Keszthely ","tégla építésû","Felújított állapotú",41.8,68,0.614705882352941
"40 M Ft ","56  m2","2 szoba ","Budapest, XIV. kerület ","tégla építésû","felújítandó",40,56,0.714285714285714
"38,3 M Ft ","31  m2","1 szoba ","Budapest, XIII. kerület ","tégla építésû","Újszerû állapotú",38.3,31,1.23548387096774
"28 M Ft ","46  m2","1 szoba ","Gyõr ","tégla építésû","Felújított állapotú",28,46,0.608695652173913
"29,9 M Ft ","30  m2","1 szoba ","Budapest, XIV. kerület ","tégla építésû","Újszerû állapotú",29.9,30,0.996666666666667
"25,5 M Ft ","40  m2","1 és fél szoba ","Budapest, X. kerület ","tégla építésû","Jó állapotú",25.5,40,0.6375
"28 M Ft ","46  m2","1 szoba ","Gyõr ","tégla építésû","Felújított állapotú",28,46,0.608695652173913
"54,9 M Ft ","75  m2","4 szoba ","Érd ","tégla építésû","Új építésû",54.9,75,0.732
"21,9 M Ft ","29  m2","1 szoba ","Budapest, XX. kerület ","tégla építésû","Jó állapotú",21.9,29,0.755172413793103
"84,5 M Ft ","79  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû",NA,84.5,79,1.06962025316456
"43,8 M Ft ","70  m2","3 szoba ","Budapest, XV. kerület ","tégla építésû",NA,43.8,70,0.625714285714286
"52,9 M Ft ","85  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",52.9,85,0.622352941176471
"48,5 M Ft ","120  m2","3 szoba ","Nagykõrös ","tégla építésû","Felújított állapotú",48.5,120,0.404166666666667
"31,5 M Ft ","68  m2","3 szoba ","Miskolc ","tégla építésû",NA,31.5,68,0.463235294117647
"64,9 M Ft ","94  m2","3 szoba ","Budapest, XVII. kerület ","tégla építésû","Újszerû állapotú",64.9,94,0.690425531914894
"51,3 M Ft ","71  m2","4 szoba ","Budapest, IV. kerület ","panellakás",NA,51.3,71,0.722535211267606
"25,9 M Ft ","34  m2","1 szoba ","Debrecen ","tégla építésû","Felújított állapotú",25.9,34,0.761764705882353
"15 M Ft ","31  m2","1 szoba ","Budapest, IV. kerület ","tégla építésû",NA,15,31,0.483870967741935
"74,9 M Ft ","105  m2","4 szoba ","Budapest, XVI. kerület ","tégla építésû","Felújított állapotú",74.9,105,0.713333333333333
"43 M Ft ","68  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû","Jó állapotú",43,68,0.632352941176471
"35 M Ft ","71  m2","3 szoba ","Miskolc ","tégla építésû","Újszerû állapotú",35,71,0.492957746478873
"40 M Ft ","63  m2","3 szoba ","Budapest, XIV. kerület ","tégla építésû",NA,40,63,0.634920634920635
"105,9 M Ft ","71  m2","3 szoba ","Balatonföldvár ","tégla építésû","Új építésû",105.9,71,1.49154929577465
"49,9 M Ft ","82  m2","3 szoba ","Sopron ","tégla építésû","Felújított állapotú",49.9,82,0.608536585365854
"45,9 M Ft ","92  m2","3 szoba ","Budapest, X. kerület ","tégla építésû",NA,45.9,92,0.498913043478261
"57,5 M Ft ","73  m2","3 szoba ","Budapest, VIII. kerület ","tégla építésû","Felújított állapotú",57.5,73,0.787671232876712
"37,9 M Ft ","54  m2","3 szoba ","Budapest, X. kerület ","tégla építésû",NA,37.9,54,0.701851851851852
"59,4 M Ft ","78  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",59.4,78,0.761538461538461
"28,5 M Ft ","74  m2","3 szoba ","Kecskemét ","tégla építésû","Jó állapotú",28.5,74,0.385135135135135
"59,4 M Ft ","78  m2","3 szoba ","Budapest, VII. kerület ","tégla építésû","Jó állapotú",59.4,78,0.761538461538461
